,t,t_p1_40samples,t_p2_40samples,t_p3_40samples,t_p4_40samples,t_p5_40samples,t_p6_40samples,t_p7_40samples,t_p8_40samples,t_p9_40samples,t_p10_40samples,t_p11_40samples,t_p12_40samples,t_p13_40samples,t-1,t-2,t-3,t-4,t+29
43,-1.9267868054714712,0.23621311131133024,1.0974391884472832,0.9471733336946528,0.8971373240622422,1.1225726730573886,1.9267868054714712,-0.5025300780392318,-0.9778311952428833,1.1500976046786096,1.2512829897371498,4.752372409920258,3.7979996922347383,3.564705829176011,-1.8183639760106514,-1.7041585305500704,-1.584704882736944,-1.4599110784622336,2.765143481332501
44,-2.0277785232899928,0.17939597707548333,1.152945856972496,0.9704013398873258,0.9416787604551172,1.1668192086612692,2.0277785232899928,-0.4747226455796701,-1.0764618931132839,1.0944494463513639,1.2390841310866358,6.5041548182003766,5.24916319644611,3.6656975469945325,-1.9267868054714712,-1.8183639760106514,-1.7041585305500704,-1.584704882736944,2.8516701772744106
45,-2.1181880110920144,0.1195964064038721,1.2072521221791006,0.9937049784130065,0.9874495841227938,1.2131615667052196,2.1181880110920144,-0.43711667697596546,-1.1732761900755122,1.0427095183109096,1.2285807662605257,10.143796148927947,8.256515507566485,3.756107034796554,-2.0277785232899928,-1.9267868054714712,-1.8183639760106514,-1.7041585305500704,2.936183749147278
46,-2.193227885534421,0.056802159197073064,1.2594657559460107,1.0166189735275168,1.033514137336142,1.2607459996724584,2.193227885534421,-0.3901892923903391,-1.2663360767289888,0.9952425067770507,1.2198633324184622,22.195388652363462,18.194979767413447,3.831146909238961,-2.1181880110920144,-2.0277785232899928,-1.9267868054714712,-1.8183639760106514,3.0239327032971186
47,-2.2467009668422784,-0.008915472003153036,1.3084129467177303,1.038639847775031,1.0787727333861394,1.308443321194928,2.2467009668422784,-0.3340108657270261,-1.3537362928663805,0.9523691037035632,1.212899882153936,-146.76097022481653,-121.00006965471059,3.884619990546818,-2.193227885534421,-2.1181880110920144,-2.0277785232899928,-1.9267868054714712,3.119210036579304
48,-2.2716040679938216,-0.07734587779796638,1.352636794869005,1.059260506637338,1.12203282092159,1.354846369019688,2.2716040679938216,-0.2685109602476512,-1.433023600659097,0.9143471111688667,1.2074926363623435,-17.5167236780046,-14.50669192548864,3.9095230916983614,-2.2467009668422784,-2.193227885534421,-2.1181880110920144,-2.0277785232899928,3.2249793324685974
49,-2.261003526672429,-0.14809728699768376,1.3904617119917881,1.0779931930681719,1.162069324301313,1.3983263492229592,2.2716040679938216,-0.19374987523333106,-1.5007722965090515,0.8813731779743522,1.2033071693581572,-9.441944397298979,-7.8466617981968,3.9095230916983614,-2.2716040679938216,-2.2467009668422784,-2.193227885534421,-2.1181880110920144,3.3427653069003482
50,-2.208960333651859,-0.22057476195401207,1.4201210204774388,1.0943809757577423,1.197669720100468,1.4371488922213145,2.2716040679938216,-0.11016524366313353,-1.552432584692793,0.8536029684815443,1.1999542679435509,-6.515472937565485,-5.429767710007421,3.9095230916983614,-2.261003526672429,-2.2716040679938216,-2.2467009668422784,-2.193227885534421,3.4726553602471713
51,-2.1112603719097827,-0.29397918663610445,1.4399293384154803,1.1080001876183871,1.227664415762381,1.4696326962220418,2.2716040679938216,-0.018778958384873628,-1.5825230013186715,0.8311858736925153,1.1970964355999503,-4.999104572804992,-4.176024941799767,3.9095230916983614,-2.208960333651859,-2.261003526672429,-2.2716040679938216,-2.2467009668422784,3.613326736954535
52,-1.9658286073165192,-0.36732472583757686,1.4484749225049245,1.1184555318038014,1.2509427766225243,1.4943249497138493,2.2716040679938216,0.07861593430607788,-1.5851813697980368,0.8143108588160153,1.1945589979330975,-4.0681305793027605,-3.4055501539410784,3.9095230916983614,-2.1112603719097827,-2.208960333651859,-2.261003526672429,-2.2716040679938216,3.762079196711183
53,-1.7729001269564746,-0.4394715621613613,1.4448125941738619,1.1253687180102165,1.2664547514759583,1.5101717406414252,2.2716040679938216,0.17923936931825074,-1.555102622577721,0.8032614984519875,1.1924403448930434,-3.436335523541643,-2.8817672416559064,3.9095230916983614,-1.9658286073165192,-2.1112603719097827,-2.208960333651859,-2.261003526672429,3.9148866532983724
