,t,t_p1_40samples,t_p2_40samples,t_p3_40samples,t_p4_40samples,t_p5_40samples,t_p6_40samples,t_p7_40samples,t_p8_40samples,t_p9_40samples,t_p10_40samples,t_p11_40samples,t_p12_40samples,t_p13_40samples,t-1,t-2,t-3,t-4,t+29
43,-0.4039489502123216,-0.03680892117977506,0.9585087698341818,0.7508236665344279,0.5637361782282018,0.959215282680304,2.6638793716703857,1.3758702506854474,1.0586379252061588,1.8803463404262408,1.7015322410122333,-26.059315294666995,-15.315205123098009,3.660215641599583,-0.3112836502471637,-0.21598513376919912,-0.1253543790427137,-0.04749058943158604,1.7960013676241071
44,-0.48786080995691755,-0.11560242572045765,0.8574811422253097,0.727481937243373,0.5292299690153708,0.8652385972114718,2.398445994499952,1.413464640235446,1.3474326036822637,1.9873307211056048,1.6349009842002014,-7.484605896624835,-4.578017854877204,3.394782264429149,-0.4039489502123216,-0.3112836502471637,-0.21598513376919912,-0.1253543790427137,1.8378964962376183
45,-0.5583152411647879,-0.18952145661207614,0.7594068511593198,0.7074447684542264,0.500478100413254,0.7826986317249293,2.1118562484799015,1.415782639945663,1.5612849153187627,2.0773096311467,1.5639018591995144,-4.129868172800105,-2.6407463796442983,3.1081925184090986,-0.48786080995691755,-0.4039489502123216,-0.3112836502471637,-0.21598513376919912,1.8694669050345503
46,-0.6122253756922142,-0.257623497216379,0.6664228081301131,0.6906754087085754,0.4770325201947576,0.7144852871221514,1.80961286275382,1.3666279149490972,1.6355283783742385,2.1509979502717744,1.4977706065625236,-2.7733700335651155,-1.8516654161949215,2.805949132683017,-0.5583152411647879,-0.48786080995691755,-0.4039489502123216,-0.3112836502471637,1.8918327691575136
47,-0.6482766480598671,-0.3190707349867212,0.5807944464898475,0.677173852943144,0.45856442710986284,0.6626675810679248,1.498061722763224,1.2482468849056692,1.48904726286555,2.2122735026673412,1.445091555061167,-2.076867316256701,-1.4371873595017948,2.4943979926924214,-0.6122253756922142,-0.5583152411647879,-0.48786080995691755,-0.4039489502123216,1.9057732470244453
48,-0.6668876828410227,-0.3731944701268274,0.5048444977149795,0.6669908178604722,0.4448767511101816,0.6278073585155987,1.184247722469613,1.0494937979319474,1.053857601058323,2.2645887106407647,1.4111939024660587,-1.6822525754528006,-1.192077553986782,2.18058399239881,-0.6482766480598671,-0.6122253756922142,-0.5583152411647879,-0.48786080995691755,1.9109767447025139
49,-0.6697929033017688,-0.4195454857711119,0.44076996427148807,0.6602452502975544,0.4359237905404803,0.6085199881966139,0.9963362699291972,0.7830594719100967,0.3476680615223424,2.306312585619545,1.3959320445487504,-1.4504267328205727,-1.0390382099792246,1.8718768114200546,-0.6668876828410227,-0.6482766480598671,-0.6122253756922142,-0.5583152411647879,1.90539097030951
50,-0.6592090210561542,-0.4579142248347872,0.3902701257718246,0.6571505914717479,0.43184689987166813,0.6016612073052408,0.9963362699291972,0.504601224436729,-0.4410587487604638,2.3291050174345185,1.3932280340186216,-1.3139168313068166,-0.9430737820548728,1.5753891997324283,-0.6697929033017688,-0.6668876828410227,-0.6482766480598671,-0.6122253756922142,1.8850812768044145
51,-0.6368125808003835,-0.48831086259987755,0.353983628197353,0.658076844019601,0.43306513263479823,0.6031184855107646,0.9963362699291972,0.30277570343236315,-0.9988805211761931,2.3215362535892186,1.3926738498695335,-1.2351117529919882,-0.8868636063696422,1.2973368173855655,-0.6592090210561542,-0.6697929033017688,-0.6668876828410227,-0.6482766480598671,1.8448936884354825
52,-0.6029400110384403,-0.5109093765622477,0.33097869975139443,0.6637732677998336,0.4405949510456696,0.6087489554392257,0.9963362699291972,0.2354462236640403,-1.1537130484279623,2.2753166174029813,1.3816521364906114,-1.191500848027708,-0.8623739771822113,1.042555797543153,-0.6368125808003835,-0.6592090210561542,-0.6697929033017688,-0.6668876828410227,1.7798600229397457
53,-0.556365720858924,-0.5259740077740698,0.31876605553255116,0.6770460677190915,0.4583913778138846,0.6150288245388981,0.9963362699291972,0.27189613169619337,-1.0493671984420008,2.189486334042136,1.3417111540623505,-1.169314101930074,-0.8715095632839427,1.0343073554820168,-0.6029400110384403,-0.6368125808003835,-0.6592090210561542,-0.6697929033017688,1.6868261551821344
54,-0.49475720978256404,-0.5337928783144624,0.31403361883370845,0.6839653782240155,0.46780863860912053,0.6193157116503936,0.9963362699291972,0.3262558479019235,-0.9363096550426055,2.141107904016712,1.3238654880160634,-1.1602172618075823,-0.8763860621113982,1.0343073554820168,-0.556365720858924,-0.6029400110384403,-0.6368125808003835,-0.6592090210561542,1.5656033832621765
55,-0.4156232620331501,-0.5346389601493625,0.3136682983550046,0.6846355038498609,0.46872577313175295,0.6198601609254428,0.9963362699291972,0.33398043618509454,-0.9239943848493644,2.1362634851737274,1.3224366921065547,-1.1593995333828122,-0.8767145832410056,1.0343073554820168,-0.49475720978256404,-0.556365720858924,-0.6029400110384403,-0.6368125808003835,1.4192486816699827
56,-0.31739255668834476,-0.5287660926405631,0.3154764755060055,0.6801405603943304,0.4625911818935137,0.6157263899850808,0.9963362699291972,0.2805848155714851,-0.988532976282245,2.1690559501133198,1.3310378884974465,-1.1644589139788704,-0.8748503134598066,1.0343073554820168,-0.4156232620331501,-0.49475720978256404,-0.556365720858924,-0.6029400110384403,1.2535992466553805
57,-0.20021616754699592,-0.5164331590853949,0.31842302701914676,0.6705072758876076,0.4495800070182204,0.6067095119898459,0.9963362699291972,0.18754108371589795,-1.0734737034636201,2.239783215554126,1.3495028749471447,-1.1748074292214907,-0.8705482967329756,1.0343073554820168,-0.31739255668834476,-0.4156232620331501,-0.49475720978256404,-0.556365720858924,1.0764670445889917
58,-0.06618307147255985,-0.4979386888368394,0.3225269526951252,0.6544949486234681,0.4283636377736362,0.5932677077469785,0.9963362699291972,0.09435678117235757,-1.1323404740360858,2.354522326177365,1.3849628106400664,-1.1914473027448882,-0.8602738597683037,1.0343073554820168,-0.20021616754699592,-0.31739255668834476,-0.4156232620331501,-0.49475720978256404,0.8968175485493829
59,0.08111821102968017,-0.4736457143825971,0.3285750618132949,0.6380223517202614,0.407072521294653,0.5764562724080737,0.9963362699291972,0.04653745106997049,-1.1225326503186492,2.4840574600829455,1.4161021495008135,-1.217062151949356,-0.8594451695298815,1.0774544809588773,-0.06618307147255985,-0.20021616754699592,-0.31739255668834476,-0.4156232620331501,0.7240309228525101
60,0.23743710680876942,-0.4439844084638744,0.3377474583330796,0.6258498794734082,0.3916880716368796,0.5578489944146819,0.9963362699291972,0.08171685319433139,-1.0002769969484235,2.5917597798736156,1.424217469997004,-1.2564607760546447,-0.8822113213210955,1.2337733767379666,0.08111821102968017,-0.06618307147255985,-0.20021616754699592,-0.31739255668834476,0.5672015936605582
61,0.3986459455525709,-0.40943402521232536,0.35122195355043356,0.6168432374973553,0.3804955796462186,0.5394377458589175,0.9963362699291972,0.21237911746524965,-0.7424749615652191,2.6719474679460506,1.4177240806857254,-1.3175205592138426,-0.929320858101376,1.3949822154817682,0.23743710680876942,0.08111821102968017,-0.06618307147255985,-0.20021616754699592,0.4344384475867204
62,0.5611268448956699,-0.3704974473417037,0.3698366632755399,0.610616176244323,0.3728521146912381,0.5234954784804771,0.9907818802297477,0.4166324075227318,-0.3786864306925519,2.7232724966822697,1.4040297958722536,-1.412952996671164,-1.0063554212489965,1.5519087251254176,0.3986459455525709,0.23743710680876942,0.08111821102968017,-0.06618307147255985,0.33222034258805017
63,0.7217466270898139,-0.32768423465871466,0.3938937608464168,0.6069705876123657,0.3684132942265005,0.5123760849977308,0.9692405807981286,0.6481719461745695,0.008767295088607074,2.749127150415419,1.39076437530162,-1.5636275133326873,-1.12429361946633,1.6909872078879424,0.5611268448956699,0.3986459455525709,0.23743710680876942,0.08111821102968017,0.2649338315060793
64,0.8776727953528515,-0.2815114002549402,0.4231461211095046,0.605779131576184,0.3669683562531957,0.5082335174735297,0.9333463430247482,0.8591543931866402,0.3265025384703266,2.756051189594712,1.3849518870310058,-1.8053745497101261,-1.3035648145008145,1.8110191383775995,0.7217466270898139,0.5611268448956699,0.3986459455525709,0.23743710680876942,0.2346981459849497
65,1.026293735182485,-0.23252039829975932,0.4569345232404382,0.6069532078045784,0.36839219646426774,0.5126937625468495,1.026293735182485,1.0181489055713757,0.5147770873300002,2.750392151573411,1.3917063593299495,-2.204941012899427,-1.584343563653052,1.909800396421582,0.8776727953528515,0.7217466270898139,0.5611268448956699,0.3986459455525709,0.2414757173780823
