,t,t_p1_40samples,t_p2_40samples,t_p3_40samples,t_p4_40samples,t_p5_40samples,t_p6_40samples,t_p7_40samples,t_p8_40samples,t_p9_40samples,t_p10_40samples,t_p11_40samples,t_p12_40samples,t_p13_40samples,t-1,t-2,t-3,t-4,t+29
43,-2.9345014938180456,1.693035948572814,2.9693714279532704,1.61165425760784,2.5974294460654783,3.418118985685708,5.400663134640368,-0.11889447180148165,-1.5299824856469,0.39713147459176823,1.3159622067361212,2.0189287702763163,1.5341844620931087,8.335164628458413,-2.8106799032299516,-2.663304459126041,-2.496039433934536,-2.3134589486788157,0.020731527592986593
44,-3.0321677711733375,1.4863727293555282,3.0031851704878907,1.5979902448867764,2.5535728227532997,3.3508842204424467,5.400663134640368,-0.04652160660882586,-1.5314429284625575,0.4043535626602494,1.3122336635888356,2.254403726779451,1.7179895542489503,8.432830905813706,-2.9345014938180456,-2.8106799032299516,-2.663304459126041,-2.496039433934536,0.10159843482313459
45,-3.1018649766721382,1.2760626766095888,3.022512720642142,1.5844090187602078,2.5103519387286846,3.280841218510824,5.400663134640368,0.025358548037241024,-1.521970764942745,0.41153744845762535,1.306924805201751,2.5710658877883605,1.9672638223370953,8.502528111312506,-3.0321677711733375,-2.9345014938180456,-2.8106799032299516,-2.663304459126041,0.18703358048607513
46,-3.141984255362368,1.0633536292269177,3.0265573780205717,1.5708095183790467,2.4674425430302125,3.2079230825007032,5.400663134640368,0.09697058771204815,-1.5021386922606905,0.4187221817583886,1.3001004183712916,3.01679798171464,2.320434590347991,8.542647390002736,-3.1018649766721382,-3.0321677711733375,-2.9345014938180456,-2.8106799032299516,0.27185006992335975
47,-3.150454916254468,0.8496513898738876,3.014736418978429,1.5571012953053756,2.4245644438416782,3.132178660330459,5.400663134640368,0.1685695086031123,-1.4722738692683432,0.42595090668624747,1.291852096687345,3.6864279840645744,2.8535991028056253,8.551118050894836,-3.141984255362368,-3.1018649766721382,-3.0321677711733375,-2.9345014938180456,0.35461798647539294
48,-3.1242746973151863,0.6365279440749988,2.9866743359297936,1.5431920229874247,2.3814416198120205,3.0537503847711616,5.3726907174716745,0.24046379561408374,-1.432407855849973,0.43328067334599185,1.2823116717898841,4.7975118974688,3.741299407165426,8.523145633726143,-3.150454916254468,-3.141984255362368,-3.1018649766721382,-3.0321677711733375,0.43786811316968527
49,-3.059497011968012,0.42572325083900653,2.9421962947262643,1.5289729043697782,2.3377581422969547,2.972836914969587,5.312069513754122,0.31300827651529656,-1.382173862489123,0.44079489339619954,1.2716614525609728,6.983026905650048,5.4912625460078806,8.46252443000859,-3.1242746973151863,-3.150454916254468,-3.141984255362368,-3.1018649766721382,0.5273035306590279
50,-2.951803003760663,0.2191264379011369,2.8813398599557836,1.514305116154563,2.293119984811885,2.889660150321704,5.21841893105156,0.3865397609564571,-1.3206876060105688,0.44861666247032367,1.260143459330915,13.187181692906584,10.464825726991783,8.368873847306029,-3.059497011968012,-3.1242746973151863,-3.150454916254468,-3.141984255362368,0.6302655269658983
51,-2.7975718366583617,0.01872666870838886,2.804397956294543,1.499010327282338,2.2470319612991023,2.8044604802688737,5.092554041600282,0.46123277328827805,-1.2464945391709368,0.4569214847246715,1.2480732488769313,149.75757428829712,119.99101368694126,8.24300895785475,-2.951803003760663,-3.059497011968012,-3.1242746973151863,-3.150454916254468,0.7537321770611674
52,-2.5951802042749645,-0.17346668743849225,2.7119972777254167,1.4828675149848913,2.198896066997467,2.717539314534558,4.936154569512056,0.5368649595441094,-1.1577095292760242,0.4659486308046598,1.235865285004254,-15.666058738212442,-12.676186416352424,8.086609485766525,-2.7975718366583617,-2.951803003760663,-3.059497011968012,-3.1242746973151863,0.9022753602775557
