,t,t_p1_40samples,t_p2_40samples,t_p3_40samples,t_p4_40samples,t_p5_40samples,t_p6_40samples,t_p7_40samples,t_p8_40samples,t_p9_40samples,t_p10_40samples,t_p11_40samples,t_p12_40samples,t_p13_40samples,t-1,t-2,t-3,t-4,t+29
43,-2.9319087279903147,-1.2316600746343545,0.8113946102264553,1.0498158266030178,1.1021132697861775,1.4749060149558157,2.9319087279903147,-0.7804612308850768,-0.6823147842273181,0.972260449649216,1.3382526600391667,-1.1974943779789844,-0.8948193519330926,2.813147557361507,-2.874530285219543,-2.794274391853704,-2.6945888231671926,-2.5790351583807882,0.5900468629206801
44,-2.963337287247972,-1.3027744775498333,0.8350497022071377,1.0842362574310194,1.1755682619280237,1.5474266846967164,2.963337287247972,-0.7420204025632927,-0.8468530616976224,0.9117412377601672,1.31632227137437,-1.1877932146836403,-0.9023574549441203,2.7223307777963037,-2.9319087279903147,-2.874530285219543,-2.794274391853704,-2.6945888231671926,0.6464890114466131
45,-2.9664406429602312,-1.3709103308875474,0.8565490983840166,1.1150215492304256,1.2432730552482185,1.6164997659377118,2.9664406429602312,-0.6791924622575534,-1.01237771303279,0.8601170320951461,1.3001968948928753,-1.1791433250715722,-0.9068959706819814,2.624654270988033,-2.963337287247972,-2.9319087279903147,-2.874530285219543,-2.794274391853704,0.6943300160984905
46,-2.939873425270965,-1.4358625072200168,0.8743690865133769,1.1432710723695059,1.3070687449169198,1.6811372457626383,2.9664406429602312,-0.600447033081156,-1.1698716243683864,0.815412677152646,1.286188849898247,-1.1708204910353843,-0.9103021621809351,2.546009278935241,-2.9664406429602312,-2.963337287247972,-2.9319087279903147,-2.874530285219543,0.7286038081134034
47,-2.8835404067775943,-1.497440233288832,0.8873253380017152,1.1695133790649686,1.3677615438119608,1.740595733572839,2.9664406429602312,-0.512037558319367,-1.3112417350738104,0.7762451853578124,1.2725871270819522,-1.162380771451535,-0.913399756067688,2.4882602962510503,-2.939873425270965,-2.9664406429602312,-2.963337287247972,-2.9319087279903147,0.7453368939667154
48,-2.798540166939462,-1.555449228794589,0.8946119102293205,1.1940478273951813,1.4257502141071527,1.7943669561385251,2.9664406429602312,-0.4187079607865187,-1.4297112728857584,0.7416509939783135,1.2585423017188262,-1.153600466618308,-0.9166163624717293,2.448317996542652,-2.8835404067775943,-2.939873425270965,-2.9664406429602312,-2.963337287247972,0.742067983805296
49,-2.6867484367126675,-1.609664873551966,0.8958157847855487,1.217030902965612,1.4811642187732927,1.8421473679969296,2.9664406429602312,-0.3244072472079767,-1.5200210993694248,0.7109735368171471,1.2437158180357644,-1.144429128239567,-0.9201693117057854,2.4217167780103055,-2.798540166939462,-2.8835404067775943,-2.939873425270965,-2.9664406429602312,0.7181261033079513
50,-2.550159113816835,-1.6598007547736386,0.8909169800207544,1.2385025943380454,1.5338886761820691,1.8837918172761137,2.9664406429602312,-0.23289433188296593,-1.5786265161520054,0.6837872374035066,1.2281150819660342,-1.1349505727469213,-0.92414024500866,2.4034513391552,-2.6867484367126675,-2.798540166939462,-2.8835404067775943,-2.939873425270965,0.6746196505868024
51,-2.3902967554498846,-1.7054834410647601,0.8802907949440524,1.2583959024964892,1.5835602474199537,1.91926695678567,2.9664406429602312,-0.1482486983049635,-1.6040779209221947,0.6598426327724242,1.211994908253521,-1.1253506839019447,-0.9285110657136091,2.3889244585303446,-2.550159113816835,-2.6867484367126675,-2.798540166939462,-2.8835404067775943,0.6141094220553498
52,-2.208039581311621,-1.7462465259868032,0.8647291877358803,1.2765459652991766,1.6295696015216066,1.9486234879122584,2.9664406429602312,-0.07526747948918677,-1.5979050828709924,0.6390234900276379,1.1957902786678987,-1.1158925494847252,-0.9331841622996143,2.374659739356263,-2.3902967554498846,-2.550159113816835,-2.6867484367126675,-2.798540166939462,0.5400292634482887
53,-2.0040112819226845,-1.7815522854447714,0.8454888327913763,1.2927049173868816,1.6710860034362245,1.9719989635262014,2.9664406429602312,-0.01953023203689792,-1.5662691485035187,0.6213117072695863,1.1800703012718765,-1.1068992920597243,-0.9379943642905947,2.3585420782650806,-2.208039581311621,-2.3902967554498846,-2.550159113816835,-2.6867484367126675,0.4560392457140311
54,-1.7794425545686146,-1.8108408851916082,0.8243525211753567,1.3065618918291606,1.7071039771801952,1.9896486601030077,2.9664406429602312,0.013413704606156445,-1.5218613718046223,0.6067584187841709,1.1655111151398765,-1.0987429521685885,-0.9427134052142652,2.3395984464654354,-2.0040112819226845,-2.208039581311621,-2.3902967554498846,-2.550159113816835,0.3655242022864012
