,t,t_p1_40samples,t_p2_40samples,t_p3_40samples,t_p4_40samples,t_p5_40samples,t_p6_40samples,t_p7_40samples,t_p8_40samples,t_p9_40samples,t_p10_40samples,t_p11_40samples,t_p12_40samples,t_p13_40samples,t-1,t-2,t-3,t-4,t+29
43,-2.775877680980618,-4.793840200167638,1.2216917162102041,2.1698817382794173,4.708386758118506,4.9470632211646475,6.292801399947953,0.42360308404849045,-1.1468708725959202,0.21526843549240468,1.0506917709414165,-1.0319624798906837,-0.9821743240322979,3.9730806428231467,-2.980728589201364,-3.1963072534955677,-3.421584361359845,-3.6548007379625425,-3.609557885258351
44,-2.5827246807842097,-4.800415298259123,1.2090002225318708,2.171982308785437,4.717507149676917,4.95032004761736,6.292801399947953,0.392079361054807,-1.2182271871730634,0.21482046661176,1.049350830969358,-1.031227454302256,-0.9827289633435939,3.710076719163743,-2.775877680980618,-2.980728589201364,-3.1963072534955677,-3.421584361359845,-3.7160296297501945
45,-2.4028396759109407,-4.795369331201227,1.2185375579664963,2.170387508136387,4.710581935474475,4.947767254307772,6.292801399947953,0.4146810015608692,-1.169214714667661,0.21516178528842844,1.0503515960622827,-1.031780226418633,-0.9823189018674577,3.889961724037012,-2.5827246807842097,-2.775877680980618,-2.980728589201364,-3.1963072534955677,-3.793936526175397
46,-2.2387057823357006,-4.778748630874011,1.2483968530428642,2.165193874278761,4.688064513214271,4.939122713576528,6.292801399947953,0.4734209643565725,-1.0565380126905364,0.2162825310318714,1.053552633427846,-1.0335598490505213,-0.9810234593479434,4.054095617612252,-2.4028396759109407,-2.5827246807842097,-2.775877680980618,-2.980728589201364,-3.8486036010402827
47,-2.0934743274731744,-4.750744843118185,1.2948890719783448,2.15654951122942,4.6507057943838515,4.9240546578143265,6.292801399947953,0.5381517452346726,-0.9613527108358397,0.21817222151957413,1.058775780605294,-1.036480556295755,-0.9789424496499222,4.199327072474778,-2.2387057823357006,-2.4028396759109407,-2.5827246807842097,-2.775877680980618,-3.887334188263986
48,-1.9701781994243972,-4.711708760095156,1.3532723755949934,2.144658747901496,4.599561144950413,4.902198033791164,6.292801399947953,0.5834854976235476,-0.9342381196599892,0.22081774747337868,1.065796905248884,-1.0404289151547985,-0.9761981011868657,4.322623200523555,-2.0934743274731744,-2.2387057823357006,-2.4028396759109407,-2.5827246807842097,-3.9176434458166987
49,-1.8706862816138605,-4.66213802125755,1.4185421054972227,2.1297760713808236,4.535946114226335,4.873170696202193,6.292801399947953,0.5970139901464006,-0.9808932804822681,0.22420297493828759,1.0743449268319571,-1.045265213938844,-0.9729326102196398,4.4221151183340925,-1.9701781994243972,-2.0934743274731744,-2.2387057823357006,-2.4028396759109407,-3.9456663843909454
50,-1.7948622916789332,-4.602642217861629,1.486039594275851,2.112189016619567,4.461342441928333,4.8365927119613605,6.292801399947953,0.5778258311078149,-1.0794394538471441,0.22831007865561653,1.0841115146208844,-1.0508296067836498,-0.9693002911708086,4.497939108269019,-1.8706862816138605,-1.9701781994243972,-2.0934743274731744,-2.2387057823357006,-3.9750701945103906
51,-1.740342537230962,-4.53389906946419,1.5518022492081016,2.0921950731352292,4.3772802240513276,4.792111329334449,6.292801399947953,0.5313232017536651,-1.2014390094655856,0.23312196925817738,1.0947691452340194,-1.05695147949131,-0.9654560361813763,4.552458862716991,-1.7948622916789332,-1.8706862816138605,-1.9701781994243972,-2.0934743274731744,-4.006583536728368
52,-1.7030544003105437,-4.4566185176390505,1.6126887690028409,2.0700807639930314,4.285234369453972,4.739431788456415,6.292801399947953,0.46483973068323886,-1.3236011320903724,0.23862467844613333,1.1059912667181182,-1.0634591607287018,-0.9615439043062023,4.589746999637409,-1.740342537230962,-1.7948622916789332,-1.8706862816138605,-1.9701781994243972,-4.038095010244332
53,-1.6782462035221404,-4.371526527637678,1.6663532058827175,2.0461097317261503,4.186565034264459,4.678351973568849,6.292801399947953,0.38523436602625655,-1.4309672413228074,0.24480859213795864,1.117467884836236,-1.0701872547247189,-0.9576894953733313,4.614555196425813,-1.7030544003105437,-1.740342537230962,-1.7948622916789332,-1.8706862816138605,-4.065172475628202
54,-1.661620926040967,-4.279371262749704,1.7111402155052147,2.0205222533322806,4.082510176210957,4.608798025686006,6.292801399947953,0.2979883214046537,-1.5158957359790284,0.2516678531031558,1.1289128077479786,-1.0769801783275588,-0.9539976612330069,4.631180473906986,-1.6782462035221404,-1.7030544003105437,-1.740342537230962,-1.7948622916789332,-4.081819642707953
55,-1.650224382476548,-4.180946430340167,1.7459559462461969,1.9935442779226051,3.974218788037961,4.530858110734283,6.292801399947953,0.20709054245532463,-1.5758762831539879,0.2591977670479822,1.1400625764167178,-1.0836919788914032,-0.9505548215585757,4.642577017471405,-1.661620926040967,-1.6782462035221404,-1.7030544003105437,-1.740342537230962,-4.081327777723056
56,-1.6429165478179821,-4.077122409160609,1.7701476154427045,1.9654017831211703,3.8628041690958757,4.444811550531371,6.292801399947953,0.11522766420306403,-1.6114962699247577,0.26739042488060843,1.1506696575746214,-1.090183493275705,-0.9474339451807491,4.64988485212997,-1.650224382476548,-1.661620926040967,-1.6782462035221404,-1.7030544003105437,-4.057150733865898
57,-1.6404151619500031,-3.9688747486834375,1.7834064321023702,1.9363358526179695,3.749396534133759,4.351149879376844,6.292801399947953,0.02403651250737401,-1.6249055466018367,0.27622899049407135,1.1604933860062125,-1.096318265226237,-0.9447001408591984,4.65238623799795,-1.6429165478179821,-1.650224382476548,-1.661620926040967,-1.6782462035221404,-4.003754066064769
58,-1.644995100625366,-3.857300651470351,1.7856954117840118,1.9066144799126614,3.6351787750126285,4.250585420797948,6.292801399947953,-0.06567171088047652,-1.6187392099663025,0.2856812694821376,1.1692919891630862,-1.1019585468863262,-0.9424152026176511,4.65238623799795,-1.6404151619500031,-1.6429165478179821,-1.650224382476548,-1.661620926040967,-3.9173538543185606
59,-1.6599753206781773,-3.743616686832349,1.7771954359681452,1.876538183088882,3.5213955525905227,4.144042653684398,6.292801399947953,-0.15372929488374065,-1.5953705041404838,0.29569328900638275,1.1768182789450687,-1.106962330908635,-0.9406399872552502,4.65238623799795,-1.644995100625366,-1.6404151619500031,-1.6429165478179821,-1.650224382476548,-3.7964277026672986
60,-1.6891449241906025,-3.629135145620232,1.7582590397161728,1.8464379949632572,3.4093332692439335,4.032629012929359,6.292801399947953,-0.24045173994278055,-1.556396789725969,0.3061836443231703,1.182820421021395,-1.111181824627302,-0.9394340889615083,4.65238623799795,-1.6599753206781773,-1.644995100625366,-1.6404151619500031,-1.6429165478179821,-3.641898076911186
61,-1.7362567735637238,-3.5152215299606255,1.729362687331628,1.816666127246058,3.3002758178831906,3.917585699003098,6.283882875078888,-0.32646848495814,-1.5023231484936996,0.31703930446435785,1.1870479666502094,-1.1144633888968527,-0.9388528688034513,4.643467713128885,-1.6891449241906025,-1.6599753206781773,-1.644995100625366,-1.6404151619500031,-3.456953247477375
62,-1.804640554516883,-3.403240471946576,1.691056056942192,1.787581169506143,3.19544643757295,3.8002258219237484,6.246489665950147,-0.4125166128679325,-1.4324590679321185,0.32811352304343044,1.189262876460589,-1.1166492210143781,-0.9389423004085361,4.606074504000144,-1.7362567735637238,-1.6891449241906025,-1.6599753206781773,-1.644995100625366,-3.2465523777188565
63,-1.8968936487316919,-3.2945005715161146,1.6439195816980943,1.759530664197652,3.0959481582518307,3.681875283983753,6.186229086461364,-0.4991807339391333,-1.3450679831003034,0.33922659967999114,1.1892561166343218,-1.117582226519199,-0.9397321660888616,4.545813924511361,-1.804640554516883,-1.7362567735637238,-1.6891449241906025,-1.6599753206781773,-3.016730766984828
64,-2.0145623050493087,-3.190208901980813,1.5885523418513605,1.732834155707652,3.0027142111870515,3.5638366097618825,6.108435077283965,-0.5865761547579043,-1.2378169115187259,0.3501704866435658,1.1868717297451377,-1.117117003701257,-0.9412280836288354,4.4680199153339615,-1.8968936487316919,-1.804640554516883,-1.7362567735637238,-1.6891449241906025,-2.773858769329176
65,-2.1577583752134215,-3.091441984429049,1.5256118086848667,1.7077693102791982,2.9164760171314885,3.4473910329246564,6.017130963893951,-0.6739817945272503,-1.1085950999101843,0.36071844173716777,1.182039904554179,-1.1151401353441044,-0.9434031212040117,4.3767158019439485,-2.0145623050493087,-1.8968936487316919,-1.804640554516883,-1.7362567735637238,-2.523999699418685
66,-2.3247416219493084,-2.9991322508804332,1.4559102444596295,1.6845624664455379,2.8377507033570737,3.3338369633492326,5.914418142826379,-0.7594334002302507,-0.9568268204241352,0.37064071368654306,1.1748167164244858,-1.111600517906652,-0.9461905864684746,4.274002980876375,-2.1577583752134215,-2.0145623050493087,-1.8968936487316919,-1.804640554516883,-2.272460532612661
67,-2.5115815344079313,-2.9140613356699725,1.380546241906296,1.6633834495452184,2.7668445002209503,3.2245404934793824,5.800517246048585,-0.8393021686572257,-0.7854520010855124,0.37972610787782507,1.1654216538811206,-1.106545169111215,-0.9494805295801451,4.1601020840985825,-2.3247416219493084,-2.1577583752134215,-2.0145623050493087,-1.8968936487316919,-2.023557800547464
68,-2.7120538668492227,-2.8368497511899884,1.3010287389739632,1.6443435785968235,2.7038658044726076,3.1209601552187234,5.674346280326242,-0.9079391974424388,-0.603650459096881,0.38780692026366165,1.1542585249815942,-1.1001499652597244,-0.9531226683184059,4.033931118376239,-2.5115815344079313,-2.3247416219493084,-2.1577583752134215,-2.0145623050493087,-1.7805598782113872
69,-2.917909366870655,-2.7679388283535986,1.2193468198428485,1.6274960854983902,2.648743508312583,3.0246143596446076,5.534296850383026,-0.957591596015992,-0.4299078671877017,0.394781719014941,1.1419053412127012,-1.0927316487856353,-0.9569371552506765,3.8938816884330225,-2.7120538668492227,-2.5115815344079313,-2.3247416219493084,-2.1577583752134215,-1.5457338423309464
70,-3.1195843287095486,-2.7075710153117614,1.1379522575689476,1.6128392324083591,2.601250389595585,2.936984191898661,5.37889694850782,-0.9789924838993398,-0.29391071143401426,0.4006285510741347,1.1290663150483073,-1.0847302527946747,-0.9607321007962799,3.738481786557817,-2.917909366870655,-2.7120538668492227,-2.5115815344079313,-2.3247416219493084,-1.320421813419353
71,-3.3073275659833232,-2.655781780748649,1.0596444486983938,1.6003232581869402,2.561034530694064,2.859374621243916,5.207231456925504,-0.9632074599409489,-0.23407132154374022,0.405402370475047,1.116492021866257,-1.0766602293799439,-0.964324158429961,3.5668162949755007,-3.1195843287095486,-2.917909366870655,-2.7120538668492227,-2.5115815344079313,-1.1050924683182295
72,-3.4726099990675974,-2.6124162443022017,0.9873695408055249,1.589862211403145,2.5276618512476987,2.79277948352614,5.019159496588767,-0.9052052196670612,-0.28644215653734983,0.4092153293792763,1.1048865108865629,-1.0690407738878973,-0.9675570869537516,3.3787443346387636,-3.3073275659833232,-3.1195843287095486,-2.917909366870655,-2.7120538668492227,-0.8993536401026848
73,-3.609557885258351,-2.577176204018941,0.9239608806188131,1.5813506007926346,2.5006697226272263,2.737798549103891,4.815431689445112,-0.8087075989097342,-0.4636608396412578,0.41220500777154206,1.094826127709314,-1.0623249372062609,-0.9703138336942551,3.1750165274951088,-3.4726099990675974,-3.3073275659833232,-3.1195843287095486,-2.917909366870655,-0.701964797857424
74,-3.7160296297501945,-2.549691152526568,0.8718533526573381,1.5746828862356759,2.4796261922035185,2.6946341573230495,4.597776581248112,-0.689874844144324,-0.7328764737577611,0.41450011627602246,1.086709829810462,-1.0568472791902082,-0.9725202167118869,2.9573614192981093,-3.609557885258351,-3.4726099990675974,-3.3073275659833232,-3.1195843287095486,-0.5109314486116159
75,-3.793936526175397,-2.52959515114975,0.83280353921626,1.5697718947532713,2.4641838015572755,2.6631585314531048,4.368943113878012,-0.5754794284520223,-1.0146427171291408,0.4161931993390658,1.0807467080053381,-1.0528002989896021,-0.9741415737760472,2.7285279519280086,-3.7160296297501945,-3.609557885258351,-3.4726099990675974,-3.3073275659833232,-0.3237569222418944
76,-3.8486036010402827,-2.5165866633288068,0.8076552935801212,1.5665614979334428,2.4541149268074722,2.643012581750683,4.13261414895198,-0.49285187475861064,-1.2200409518290984,0.4173260061271728,1.0769718047348928,-1.050237061279919,-0.9751760042951589,2.4921989870019767,-3.793936526175397,-3.7160296297501945,-3.609557885258351,-3.4726099990675974,-0.13784771986827413
77,-3.887334188263986,-2.510454664311607,0.7962126414512042,1.5650302268223935,2.4493196108677524,2.6336926912551144,3.893099433999014,-0.45605014820059164,-1.306435359660651,0.4178884160799456,1.0752752231963887,-1.0490899233096889,-0.9756478161852733,2.252684272049011,-3.8486036010402827,-3.793936526175397,-3.7160296297501945,-3.609557885258351,0.04903588159886066
78,-3.9176434458166987,-2.5110682646070495,0.7972866715257615,1.5651854744339757,2.4498055693791096,2.634602411391382,3.9176434458166987,-0.4589683391414147,-1.3004711193266296,0.41782848694785635,1.0754332687957389,-1.049195853623543,-0.975602935176465,2.2772282838666955,-3.887334188263986,-3.8486036010402827,-3.793936526175397,-3.7160296297501945,0.23842046192240615
79,-3.9456663843909454,-2.5183399057677596,0.8089263592530829,1.567050895378257,2.4556485087057967,2.6450704594919237,3.9456663843909454,-0.48125441423788295,-1.2665956254501267,0.41706961441571155,1.0771372409832214,-1.0503230534662589,-0.9751060621648489,2.3052512224409423,-3.9176434458166987,-3.887334188263986,-3.8486036010402827,-3.793936526175397,0.43089629974102134
80,-3.9750701945103906,-2.532177051596523,0.8287494813146611,1.5706510277243098,2.4669446508914303,2.6643472602893525,3.9750701945103906,-0.5008515364661253,-1.2583332518317756,0.41553029395219065,1.080019067037678,-1.0521962745888946,-0.9742386099487143,2.3346550325603874,-3.9456663843909454,-3.9176434458166987,-3.887334188263986,-3.8486036010402827,0.6259498518152437
81,-4.006583536728368,-2.552433958677343,0.8542455732709116,1.5759966096611933,2.4837653136635756,2.691589607065356,4.006583536728368,-0.5029718686738714,-1.2954938453784948,0.41314244432066827,1.0836730798431347,-1.0545188046550371,-0.9730967985360329,2.3661683747783653,-3.9750701945103906,-3.9456663843909454,-3.9176434458166987,-3.887334188263986,0.8217460137139467
82,-4.038095010244332,-2.5788681192034173,0.8829668999177804,1.58307217258551,2.5061175036146066,2.7258377285880733,4.038095010244332,-0.4818625417270241,-1.370775902469151,0.40986584745228405,1.0876735526792185,-1.0569899671449865,-0.9717897107467122,2.3976798482943287,-4.006583536728368,-3.9750701945103906,-3.9456663843909454,-3.9176434458166987,1.0148780451593244
83,-4.065172475628202,-2.611100489069607,0.9126055103359918,1.5918254412749193,2.5339082354900917,2.765988897576264,4.065172475628202,-0.4381673682362286,-1.4658895779080323,0.4056983676828651,1.0915900026826681,-1.0593192062714702,-0.9704368890042142,2.424757313678199,-4.038095010244332,-4.006583536728368,-3.9750701945103906,-3.9456663843909454,1.2002891363566586
