,t,t_p1_40samples,t_p2_40samples,t_p3_40samples,t_p4_40samples,t_p5_40samples,t_p6_40samples,t_p7_40samples,t_p8_40samples,t_p9_40samples,t_p10_40samples,t_p11_40samples,t_p12_40samples,t_p13_40samples,t-1,t-2,t-3,t-4,t+29
43,-1.130913477754775,-0.08976307985509135,0.41484944754625713,0.5034590431028374,0.25347100808202466,0.42444961377589474,1.130913477754775,-0.05446157038566769,0.49644644182871556,4.253963692930402,1.6745489631640256,-4.7285544843281135,-2.8237779774403298,2.0132143866950636,-0.9618556531328551,-0.7913913787027372,-0.625309709070092,-0.4698751586904804,-1.494644509961782
44,-1.2940031064526873,-0.14417068023991575,0.4263472976734752,0.5084148889408748,0.2584856992967621,0.45006355470568254,1.2940031064526873,-0.5249199538752745,0.6840226048570632,4.230488653158673,1.7411545626320082,-3.1217412164299123,-1.792914473779368,2.070295299523032,-1.130913477754775,-0.9618556531328551,-0.7913913787027372,-0.625309709070092,-1.1673141909994325
45,-1.4483404489152585,-0.19978649628955583,0.44723491740718363,0.5164747818347525,0.2667462002712552,0.489830292497174,1.4483404489152585,-0.9176334001189619,0.8522170276397176,4.164230898027192,1.8363159137752059,-2.4517687711348124,-1.335156305482493,2.102630962764282,-1.2940031064526873,-1.130913477754775,-0.9618556531328551,-0.7913913787027372,-0.8059793588316053
46,-1.5931706085347555,-0.2559730243491503,0.47661718290266347,0.5278079408641965,0.2785812224393031,0.541004739565673,1.5931706085347555,-1.1713883421407736,0.9190513149336486,4.028950322802261,1.942000020060743,-2.113522473476486,-1.088322580661136,2.112256964440065,-1.4483404489152585,-1.2940031064526873,-1.130913477754775,-0.9618556531328551,-0.4161130906445357
47,-1.7296181740658427,-0.3121906375984291,0.5131046127328257,0.5426747660882285,0.29449590174891355,0.6006157988363416,1.7296181740658427,-1.2872439473712687,0.8521419288458021,3.816471179381958,2.0394708220708115,-1.9238751150792484,-0.9433207350943167,2.1041265625305487,-1.5931706085347555,-1.4483404489152585,-1.2940031064526873,-1.130913477754775,-0.004890368474269294
48,-1.8600746448963443,-0.3680552134324554,0.5552163780598537,0.5614716318545776,0.3152503933774423,0.6661305176920755,1.8600746448963443,-1.302134957617814,0.676627514785046,3.539096136865041,2.1130204170579168,-1.8098657304152606,-0.8565301668666522,2.0854597573099087,-1.7296181740658427,-1.5931706085347555,-1.4483404489152585,-1.2940031064526873,0.4180281447644708
49,-1.9872000948551003,-0.42336984361417196,0.6016161453295492,0.5848449675791809,0.34204363610269317,0.7356520990271649,1.9872000948551003,-1.2582263422775362,0.44139300045214647,3.2212017757882587,2.1507551124450597,-1.7376110040033554,-0.8079074153765342,2.130560613095151,-1.8600746448963443,-1.7296181740658427,-1.5931706085347555,-1.4483404489152585,0.8400447935223332
50,-2.1128178705371803,-0.47812469385398637,0.651176700373454,0.6142296641713942,0.37727808034810373,0.8078578575357347,2.1128178705371803,-1.1873589351130562,0.18950823768956804,2.8892998849861447,2.141279601482141,-1.689638430978938,-0.7890788432343969,2.256178388777231,-1.9872000948551003,-1.8600746448963443,-1.7296181740658427,-1.5931706085347555,1.2461440888656168
51,-2.237098746780287,-0.5324691852243922,0.7029409094331249,0.6453311778832014,0.4164523291481201,0.881844292019967,2.237098746780287,-1.1083435453901025,-0.05271265649896639,2.593440765604477,2.1175155721276333,-1.656141456614699,-0.7821153612346965,2.3804592650203378,-2.1128178705371803,-1.9872000948551003,-1.8600746448963443,-1.7296181740658427,1.6206962732719643
52,-2.358332574643536,-0.5866690309902779,0.7560465566510972,0.6728163795233971,0.45268188055497194,0.9569675792559811,2.358332574643536,-1.0298199960974406,-0.27438610706838906,2.3560397529478667,2.1139957669230602,-1.63118816352152,-0.7716137321768287,2.501693092883587,-2.237098746780287,-2.1128178705371803,-1.9872000948551003,-1.8600746448963443,1.9501531227635598
53,-2.4733151303199223,-0.641062485453143,0.809656859281933,0.6984956683128813,0.48789619865185874,1.0327174541168775,2.4733151303199223,-0.9541005327223641,-0.4745352247332084,2.15838799537259,2.116674524151764,-1.610946635548153,-0.7610743253943228,2.616675648559973,-2.358332574643536,-2.237098746780287,-2.1128178705371803,-1.9872000948551003,2.2255418856045837
54,-2.578128243125414,-0.6960252715445348,0.8629137091842,0.7232337827382549,0.5230671044938853,1.1086348578890515,2.578128243125414,-0.8802730470756077,-0.656643612399006,1.988493970752104,2.1194887775666107,-1.592808340750191,-0.7515059091649909,2.721488761365465,-2.4733151303199223,-2.358332574643536,-2.237098746780287,-2.1128178705371803,2.443623449903786
55,-2.669007011135538,-0.751945937025978,0.9149147606613286,0.7476414153004629,0.5589676858724792,1.184268428814115,2.669007011135538,-0.8062612978876942,-0.8247557075016965,1.8384658775922158,2.118670647240759,-1.5749382641762997,-0.7433615348508336,2.8123675293755888,-2.578128243125414,-2.4733151303199223,-2.358332574643536,-2.237098746780287,2.6063772952066717
56,-2.7430543058034917,-0.8092071226383066,0.9647087086508158,0.7722278208918667,0.596335807359401,1.2591580758091068,2.7430543058034917,-0.7300218623444646,-0.981313975112561,1.7030486290494813,2.111491646602121,-1.5560392890559316,-0.7369384063441402,2.8864148240435425,-2.669007011135538,-2.578128243125414,-2.4733151303199223,-2.358332574643536,2.7194123168133078
57,-2.7986801243606183,-0.8681655538455114,1.0113037850917965,0.7974613773417368,0.63594464835178,1.3328341136934025,2.7986801243606183,-0.6501415029614154,-1.126453221635721,1.5787699186862085,2.0958335244235444,-1.5352303576082427,-0.732515411991277,2.942040642600669,-2.7430543058034917,-2.669007011135538,-2.578128243125414,-2.4733151303199223,2.790194414658736
58,-2.8357412068978793,-0.929124594347528,1.0536898045513252,0.8238010125078634,0.6786481082089809,1.4048255108862695,2.8357412068978793,-0.5660524745615676,-1.2583309406460206,1.4634217086098007,2.070035256701359,-1.5119882946084313,-0.7304166872103491,2.97910172513793,-2.7986801243606183,-2.7430543058034917,-2.669007011135538,-2.578128243125414,2.826623606502903
59,-2.8554201200193976,-0.9922971351503923,1.0908797382077002,0.8517168504264291,0.7254215933003162,1.4746769841764589,2.8554201200193976,-0.47801023440558604,-1.374054335909705,1.3557256097035866,2.0328550980504927,-1.486124399576098,-0.7310527941717493,2.9987806382594484,-2.8357412068978793,-2.7986801243606183,-2.7430543058034917,-2.669007011135538,2.836032971246422
60,-2.85991413450151,-1.0577622608290018,1.1219773511579438,0.8817142462274641,0.7774200120004652,1.541977359414034,2.85991413450151,-0.3869151538390676,-1.4707854794622661,1.2550900130673501,1.9834546777953426,-1.4577730899621408,-0.7349666752065596,3.003274652741561,-2.8554201200193976,-2.8357412068978793,-2.7986801243606183,-2.7430543058034917,2.824495173519408
